keen_agnesi: CPU: 212.75%, Memory: 1.045GiB / 251.5GiB
lucid_poitras: CPU: 1490.35%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1496.89%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1551.87%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1558.84%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1515.15%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1492.49%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1512.79%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1495.65%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1492.01%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1502.36%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1517.22%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1497.95%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1491.22%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1536.35%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1500.58%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1499.87%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1492.83%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1502.24%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1545.86%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1547.88%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1499.63%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1497.97%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1544.27%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1498.83%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1546.84%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1518.41%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1578.85%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1530.30%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1551.67%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1501.04%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1518.56%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1512.34%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1512.84%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1543.17%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1518.45%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1554.47%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1556.93%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1581.94%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1542.11%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1552.28%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1582.75%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1532.99%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1533.84%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1490.65%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1529.75%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1542.10%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1493.05%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1495.15%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1526.37%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1546.69%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1556.77%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1562.30%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1493.59%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1490.66%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1540.73%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1495.23%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1495.09%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1584.37%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1497.83%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1509.43%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1536.79%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1531.02%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1519.72%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1541.20%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1497.02%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1497.57%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1500.13%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1501.81%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1546.21%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1501.23%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1496.13%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1511.61%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1541.35%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1490.38%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1500.87%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1532.71%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1501.54%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1535.53%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1549.40%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1504.98%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1545.23%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1547.31%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1487.84%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1519.75%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1490.06%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1487.65%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1504.73%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1498.98%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1494.13%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1505.89%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1537.79%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1537.73%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1540.89%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1499.76%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1499.19%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1490.43%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1503.14%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1499.59%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1510.77%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1499.06%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1500.04%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1545.05%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1498.88%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1496.60%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1515.60%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1504.06%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1493.71%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1484.03%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1507.36%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1495.98%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1490.14%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1502.03%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1522.46%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1502.89%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1526.85%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1509.63%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1493.66%, Memory: 11.99GiB / 251.5GiB
lucid_poitras: CPU: 1495.37%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1504.00%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1530.43%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1583.01%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1519.65%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1497.02%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1512.95%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1496.17%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1494.29%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1491.58%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1518.10%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1493.30%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1505.22%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1501.56%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1517.72%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1503.74%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1489.34%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1549.28%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1520.41%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1505.08%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1507.70%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1498.07%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1513.98%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1492.80%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1503.03%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1505.27%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1492.31%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1495.40%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1492.66%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1519.02%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1506.62%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1501.46%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1484.95%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1529.48%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1495.60%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1494.08%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1526.83%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1492.78%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1578.20%, Memory: 12GiB / 251.5GiB
lucid_poitras: CPU: 1582.09%, Memory: 12GiB / 251.5GiB
