suspicious_austin: CPU: 102.17%, Memory: 1.225GiB / 251.5GiB
suspicious_austin: CPU: 1583.09%, Memory: 12GiB / 251.5GiB
suspicious_austin: CPU: 1532.88%, Memory: 12GiB / 251.5GiB
suspicious_austin: CPU: 1518.54%, Memory: 12GiB / 251.5GiB
suspicious_austin: CPU: 1581.29%, Memory: 12GiB / 251.5GiB
suspicious_austin: CPU: 1499.26%, Memory: 12GiB / 251.5GiB
suspicious_austin: CPU: 1502.73%, Memory: 12GiB / 251.5GiB
suspicious_austin: CPU: 1584.29%, Memory: 12GiB / 251.5GiB
suspicious_austin: CPU: 1568.03%, Memory: 12GiB / 251.5GiB
suspicious_austin: CPU: 1530.59%, Memory: 12GiB / 251.5GiB
suspicious_austin: CPU: 101.06%, Memory: 14.99GiB / 251.5GiB
suspicious_austin: CPU: 99.48%, Memory: 9.26GiB / 251.5GiB
suspicious_austin: CPU: 100.82%, Memory: 12.76GiB / 251.5GiB
suspicious_austin: CPU: 1492.43%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1554.10%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1553.07%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1529.13%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1547.98%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1497.29%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1495.96%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1542.87%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1551.76%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1558.82%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1555.89%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1582.98%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1497.19%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1498.72%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1226.73%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 100.71%, Memory: 18GiB / 251.5GiB
suspicious_austin: CPU: 1581.09%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1580.85%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1581.19%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1580.55%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1582.46%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1568.75%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1562.64%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1548.68%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1546.69%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1516.27%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1550.05%, Memory: 15.02GiB / 251.5GiB
suspicious_austin: CPU: 1453.46%, Memory: 6.534GiB / 251.5GiB
suspicious_austin: CPU: 1558.19%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1552.47%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1579.67%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1536.01%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1528.46%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1503.76%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1483.00%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1504.63%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1519.93%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1535.29%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1548.48%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 1514.39%, Memory: 9.044GiB / 251.5GiB
suspicious_austin: CPU: 101.28%, Memory: 12.02GiB / 251.5GiB
nervous_agnesi: CPU: 197.30%, Memory: 1.126GiB / 251.5GiB
nervous_agnesi: CPU: 101.76%, Memory: 4.072GiB / 251.5GiB
nervous_agnesi: CPU: 100.98%, Memory: 3.836GiB / 251.5GiB
nervous_agnesi: CPU: 100.52%, Memory: 6.218GiB / 251.5GiB
nervous_agnesi: CPU: 463.10%, Memory: 8.992GiB / 251.5GiB
nervous_agnesi: CPU: 1528.08%, Memory: 8.992GiB / 251.5GiB
nervous_agnesi: CPU: 1537.02%, Memory: 8.993GiB / 251.5GiB
nervous_agnesi: CPU: 1553.37%, Memory: 8.994GiB / 251.5GiB
nervous_agnesi: CPU: 1579.14%, Memory: 8.995GiB / 251.5GiB
nervous_agnesi: CPU: 1539.66%, Memory: 8.995GiB / 251.5GiB
nervous_agnesi: CPU: 1498.16%, Memory: 8.993GiB / 251.5GiB
nervous_agnesi: CPU: 1484.45%, Memory: 8.995GiB / 251.5GiB
nervous_agnesi: CPU: 1545.24%, Memory: 8.996GiB / 251.5GiB
nervous_agnesi: CPU: 1561.41%, Memory: 8.997GiB / 251.5GiB
nervous_agnesi: CPU: 1567.43%, Memory: 8.997GiB / 251.5GiB
nervous_agnesi: CPU: 1551.66%, Memory: 8.998GiB / 251.5GiB
nervous_agnesi: CPU: 1529.87%, Memory: 8.997GiB / 251.5GiB
nervous_agnesi: CPU: 1513.89%, Memory: 8.999GiB / 251.5GiB
nervous_agnesi: CPU: 1542.10%, Memory: 8.999GiB / 251.5GiB
nervous_agnesi: CPU: 1553.98%, Memory: 9.001GiB / 251.5GiB
nervous_agnesi: CPU: 1553.51%, Memory: 9.002GiB / 251.5GiB
nervous_agnesi: CPU: 1551.31%, Memory: 9.002GiB / 251.5GiB
nervous_agnesi: CPU: 1501.35%, Memory: 9.001GiB / 251.5GiB
nervous_agnesi: CPU: 1552.87%, Memory: 9.003GiB / 251.5GiB
nervous_agnesi: CPU: 1577.68%, Memory: 9.004GiB / 251.5GiB
nervous_agnesi: CPU: 1583.59%, Memory: 9.006GiB / 251.5GiB
nervous_agnesi: CPU: 1578.13%, Memory: 9.008GiB / 251.5GiB
nervous_agnesi: CPU: 1576.67%, Memory: 9.011GiB / 251.5GiB
nervous_agnesi: CPU: 1087.40%, Memory: 9.017GiB / 251.5GiB
nervous_agnesi: CPU: 101.41%, Memory: 6.89GiB / 251.5GiB
nervous_agnesi: CPU: 99.91%, Memory: 9.966GiB / 251.5GiB
nervous_agnesi: CPU: 1339.82%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1503.55%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1556.34%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1514.78%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1580.82%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1554.33%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1579.15%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1590.46%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1579.42%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1520.33%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1524.48%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1521.14%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1522.18%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1537.16%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1552.82%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1546.69%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1549.35%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1542.97%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1576.70%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1583.57%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1531.35%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1499.33%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1502.69%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1536.26%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 1534.90%, Memory: 12GiB / 251.5GiB
nervous_agnesi: CPU: 101.01%, Memory: 14.99GiB / 251.5GiB
nervous_agnesi: CPU: 100.65%, Memory: 9.949GiB / 251.5GiB
nervous_agnesi: CPU: 100.65%, Memory: 14.46GiB / 251.5GiB
nervous_agnesi: CPU: 1553.58%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1487.16%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1538.01%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1551.02%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1502.14%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1494.92%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1485.92%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1552.65%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1541.25%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1512.05%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1501.50%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1510.52%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1522.09%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1429.58%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1150.69%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 381.52%, Memory: 17.51GiB / 251.5GiB
nervous_agnesi: CPU: 100.31%, Memory: 13.03GiB / 251.5GiB
nervous_agnesi: CPU: 1584.75%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1583.97%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1488.05%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1499.98%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1495.23%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1547.98%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1578.77%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1581.02%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1549.40%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1514.85%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 1548.06%, Memory: 15.02GiB / 251.5GiB
nervous_agnesi: CPU: 879.52%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1524.45%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1578.40%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1535.75%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1558.20%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1585.67%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1579.07%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1583.96%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1523.02%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1582.35%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1577.70%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1559.18%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 1535.70%, Memory: 9.044GiB / 251.5GiB
nervous_agnesi: CPU: 100.18%, Memory: 15.1GiB / 251.5GiB
determined_cartwright: CPU: 147.52%, Memory: 1.192GiB / 251.5GiB
determined_cartwright: CPU: 101.66%, Memory: 3.663GiB / 251.5GiB
determined_cartwright: CPU: 101.91%, Memory: 5.986GiB / 251.5GiB
determined_cartwright: CPU: 101.58%, Memory: 5.017GiB / 251.5GiB
determined_cartwright: CPU: 101.52%, Memory: 8.763GiB / 251.5GiB
determined_cartwright: CPU: 1586.44%, Memory: 8.993GiB / 251.5GiB
determined_cartwright: CPU: 1534.77%, Memory: 8.993GiB / 251.5GiB
determined_cartwright: CPU: 1550.80%, Memory: 8.995GiB / 251.5GiB
determined_cartwright: CPU: 1580.99%, Memory: 8.995GiB / 251.5GiB
determined_cartwright: CPU: 1543.38%, Memory: 8.994GiB / 251.5GiB
determined_cartwright: CPU: 1529.24%, Memory: 8.996GiB / 251.5GiB
determined_cartwright: CPU: 1540.34%, Memory: 8.997GiB / 251.5GiB
determined_cartwright: CPU: 1531.03%, Memory: 8.996GiB / 251.5GiB
determined_cartwright: CPU: 1515.71%, Memory: 8.998GiB / 251.5GiB
determined_cartwright: CPU: 1522.18%, Memory: 8.998GiB / 251.5GiB
determined_cartwright: CPU: 1530.80%, Memory: 8.997GiB / 251.5GiB
determined_cartwright: CPU: 1503.20%, Memory: 8.998GiB / 251.5GiB
determined_cartwright: CPU: 1480.95%, Memory: 8.998GiB / 251.5GiB
determined_cartwright: CPU: 1522.90%, Memory: 9GiB / 251.5GiB
determined_cartwright: CPU: 1495.25%, Memory: 8.998GiB / 251.5GiB
determined_cartwright: CPU: 1581.24%, Memory: 9.001GiB / 251.5GiB
determined_cartwright: CPU: 1543.18%, Memory: 9.001GiB / 251.5GiB
determined_cartwright: CPU: 1519.74%, Memory: 9.001GiB / 251.5GiB
determined_cartwright: CPU: 1518.98%, Memory: 9.002GiB / 251.5GiB
determined_cartwright: CPU: 1548.11%, Memory: 9.004GiB / 251.5GiB
determined_cartwright: CPU: 1547.38%, Memory: 9.005GiB / 251.5GiB
determined_cartwright: CPU: 1519.47%, Memory: 9.006GiB / 251.5GiB
determined_cartwright: CPU: 1507.52%, Memory: 9.006GiB / 251.5GiB
determined_cartwright: CPU: 1491.53%, Memory: 9.005GiB / 251.5GiB
determined_cartwright: CPU: 1554.31%, Memory: 9.009GiB / 251.5GiB
determined_cartwright: CPU: 1507.23%, Memory: 9.01GiB / 251.5GiB
determined_cartwright: CPU: 1502.21%, Memory: 9.012GiB / 251.5GiB
determined_cartwright: CPU: 1566.31%, Memory: 9.018GiB / 251.5GiB
determined_cartwright: CPU: 100.43%, Memory: 6.433GiB / 251.5GiB
determined_cartwright: CPU: 99.38%, Memory: 9.524GiB / 251.5GiB
determined_cartwright: CPU: 826.63%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1501.76%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1521.05%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1501.76%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1509.71%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1557.49%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1557.33%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1544.06%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1518.04%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1519.06%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1580.45%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1542.50%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1525.94%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1505.67%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1493.05%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1546.20%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1500.97%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1500.40%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1504.95%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1498.86%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1550.52%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1555.24%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1492.91%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1511.95%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1505.62%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1526.66%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1528.38%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1543.50%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1513.43%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1465.99%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1510.07%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1500.16%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1503.70%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1580.43%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 1515.61%, Memory: 12GiB / 251.5GiB
determined_cartwright: CPU: 99.59%, Memory: 14.99GiB / 251.5GiB
determined_cartwright: CPU: 101.00%, Memory: 10.69GiB / 251.5GiB
determined_cartwright: CPU: 742.61%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1504.50%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1510.62%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1487.86%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1537.47%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1553.77%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1484.42%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1564.82%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1580.07%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1573.16%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1553.41%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1587.24%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1582.31%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1581.16%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1522.81%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 351.50%, Memory: 16.77GiB / 251.5GiB
determined_cartwright: CPU: 101.02%, Memory: 12.91GiB / 251.5GiB
determined_cartwright: CPU: 1564.11%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1556.52%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1512.99%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1549.49%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1556.68%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1551.15%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1573.85%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1564.11%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1523.37%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1559.69%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1557.06%, Memory: 15.02GiB / 251.5GiB
determined_cartwright: CPU: 1283.37%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1583.27%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1551.51%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1578.46%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1580.11%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1581.30%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1580.08%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1496.42%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1509.08%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1497.54%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1505.23%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1552.77%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 1550.58%, Memory: 9.044GiB / 251.5GiB
determined_cartwright: CPU: 99.88%, Memory: 15.1GiB / 251.5GiB
friendly_nightingale: CPU: 151.19%, Memory: 1.174GiB / 251.5GiB
friendly_nightingale: CPU: 102.04%, Memory: 3.682GiB / 251.5GiB
friendly_nightingale: CPU: 99.93%, Memory: 3.37GiB / 251.5GiB
friendly_nightingale: CPU: 101.28%, Memory: 5.976GiB / 251.5GiB
friendly_nightingale: CPU: 137.87%, Memory: 8.987GiB / 251.5GiB
friendly_nightingale: CPU: 1585.16%, Memory: 8.993GiB / 251.5GiB
friendly_nightingale: CPU: 1582.46%, Memory: 8.993GiB / 251.5GiB
friendly_nightingale: CPU: 1555.44%, Memory: 8.994GiB / 251.5GiB
friendly_nightingale: CPU: 1480.23%, Memory: 8.993GiB / 251.5GiB
friendly_nightingale: CPU: 1487.70%, Memory: 8.992GiB / 251.5GiB
friendly_nightingale: CPU: 1555.22%, Memory: 8.995GiB / 251.5GiB
friendly_nightingale: CPU: 1490.07%, Memory: 8.995GiB / 251.5GiB
friendly_nightingale: CPU: 1534.30%, Memory: 8.996GiB / 251.5GiB
friendly_nightingale: CPU: 1552.65%, Memory: 8.997GiB / 251.5GiB
friendly_nightingale: CPU: 1560.81%, Memory: 8.997GiB / 251.5GiB
friendly_nightingale: CPU: 1542.25%, Memory: 8.998GiB / 251.5GiB
friendly_nightingale: CPU: 1550.51%, Memory: 8.997GiB / 251.5GiB
friendly_nightingale: CPU: 1584.12%, Memory: 9GiB / 251.5GiB
friendly_nightingale: CPU: 1497.50%, Memory: 9GiB / 251.5GiB
friendly_nightingale: CPU: 1515.83%, Memory: 9.001GiB / 251.5GiB
friendly_nightingale: CPU: 1525.61%, Memory: 9.001GiB / 251.5GiB
friendly_nightingale: CPU: 1506.20%, Memory: 9.001GiB / 251.5GiB
friendly_nightingale: CPU: 1518.47%, Memory: 9.002GiB / 251.5GiB
friendly_nightingale: CPU: 1588.61%, Memory: 9.003GiB / 251.5GiB
friendly_nightingale: CPU: 1516.18%, Memory: 9.003GiB / 251.5GiB
friendly_nightingale: CPU: 1547.96%, Memory: 9.005GiB / 251.5GiB
friendly_nightingale: CPU: 1534.04%, Memory: 9.006GiB / 251.5GiB
friendly_nightingale: CPU: 1506.22%, Memory: 9.006GiB / 251.5GiB
friendly_nightingale: CPU: 1519.09%, Memory: 9.008GiB / 251.5GiB
friendly_nightingale: CPU: 1508.93%, Memory: 9.008GiB / 251.5GiB
friendly_nightingale: CPU: 1506.85%, Memory: 9.009GiB / 251.5GiB
friendly_nightingale: CPU: 1528.99%, Memory: 9.011GiB / 251.5GiB
friendly_nightingale: CPU: 1515.11%, Memory: 9.013GiB / 251.5GiB
friendly_nightingale: CPU: 1516.68%, Memory: 9.016GiB / 251.5GiB
friendly_nightingale: CPU: 1483.61%, Memory: 9.017GiB / 251.5GiB
friendly_nightingale: CPU: 100.00%, Memory: 9.017GiB / 251.5GiB
friendly_nightingale: CPU: 100.12%, Memory: 8.835GiB / 251.5GiB
friendly_nightingale: CPU: 101.22%, Memory: 11.94GiB / 251.5GiB
friendly_nightingale: CPU: 1490.18%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1498.84%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1499.40%, Memory: 12GiB / 251.5GiB
friendly_nightingale: CPU: 1480.74%, Memory: 12GiB / 251.5GiB
