distracted_roentgen: CPU: 178.45%, Memory: 1.288GiB / 251.5GiB
pedantic_blackwell4: CPU: 1467.57%, Memory: 2.294GiB / 251.5GiB
pedantic_blackwell4: CPU: 1591.84%, Memory: 2.294GiB / 251.5GiB
quirky_bhaskara: CPU: 179.34%, Memory: 1.27GiB / 251.5GiB
quirky_bhaskara: CPU: 1551.27%, Memory: 2.271GiB / 251.5GiB
quirky_bhaskara: CPU: 1588.00%, Memory: 2.272GiB / 251.5GiB
quirky_bhaskara: CPU: 1583.17%, Memory: 2.276GiB / 251.5GiB
quirky_bhaskara: CPU: 100.94%, Memory: 2.814GiB / 251.5GiB
quirky_bhaskara: CPU: 1554.34%, Memory: 3.026GiB / 251.5GiB
quirky_bhaskara: CPU: 1526.02%, Memory: 3.027GiB / 251.5GiB
quirky_bhaskara: CPU: 1491.15%, Memory: 3.027GiB / 251.5GiB
quirky_bhaskara: CPU: 1503.28%, Memory: 3.027GiB / 251.5GiB
quirky_bhaskara: CPU: 1582.59%, Memory: 3.027GiB / 251.5GiB
quirky_bhaskara: CPU: 992.05%, Memory: 3.788GiB / 251.5GiB
quirky_bhaskara: CPU: 1555.88%, Memory: 3.787GiB / 251.5GiB
quirky_bhaskara: CPU: 540.41%, Memory: 3.789GiB / 251.5GiB
quirky_bhaskara: CPU: 1535.80%, Memory: 3.787GiB / 251.5GiB
quirky_bhaskara: CPU: 1528.03%, Memory: 2.294GiB / 251.5GiB
quirky_bhaskara: CPU: 1096.52%, Memory: 3.341GiB / 251.5GiB
adoring_kirch: CPU: 194.88%, Memory: 1.255GiB / 251.5GiB
adoring_kirch: CPU: 1542.58%, Memory: 2.269GiB / 251.5GiB
adoring_kirch: CPU: 1549.08%, Memory: 2.272GiB / 251.5GiB
adoring_kirch: CPU: 1538.89%, Memory: 2.276GiB / 251.5GiB
adoring_kirch: CPU: 99.77%, Memory: 3.024GiB / 251.5GiB
adoring_kirch: CPU: 1527.12%, Memory: 3.026GiB / 251.5GiB
adoring_kirch: CPU: 1538.42%, Memory: 3.027GiB / 251.5GiB
adoring_kirch: CPU: 1536.21%, Memory: 3.027GiB / 251.5GiB
adoring_kirch: CPU: 100.50%, Memory: 3.433GiB / 251.5GiB
adoring_kirch: CPU: 1581.15%, Memory: 3.787GiB / 251.5GiB
adoring_kirch: CPU: 946.66%, Memory: 4.533GiB / 251.5GiB
adoring_kirch: CPU: 1536.65%, Memory: 3.787GiB / 251.5GiB
adoring_kirch: CPU: 1521.28%, Memory: 2.294GiB / 251.5GiB
adoring_kirch: CPU: 1404.11%, Memory: 2.792GiB / 251.5GiB
