jovial_villani: CPU: 159.52%, Memory: 1.496GiB / 251.5GiB
jovial_villani: CPU: 1418.44%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1531.77%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1492.52%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1370.86%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1544.62%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1498.39%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1508.36%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1486.72%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1465.32%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1454.34%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1535.44%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1486.03%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1498.41%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1481.05%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1440.45%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1507.55%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1474.02%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1516.03%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1502.74%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1457.90%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1481.99%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1501.05%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1532.36%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1537.93%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1521.69%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1481.10%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1419.75%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1546.29%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1554.37%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1448.01%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1444.78%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1567.78%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1525.46%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1390.44%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1494.87%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1540.75%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1548.74%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1504.98%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1354.94%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1447.55%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1481.28%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1491.10%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1467.65%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1495.62%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1498.81%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1479.41%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1502.26%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1480.93%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1456.91%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1452.79%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1369.63%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1470.21%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1428.70%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1489.00%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1480.88%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1452.68%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1518.90%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1483.19%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1506.60%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1451.18%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1512.68%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1457.95%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1513.04%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1502.91%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1489.62%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1498.23%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1442.10%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1496.55%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1537.01%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1505.72%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1504.31%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1447.02%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1438.52%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1427.30%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1533.14%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1491.74%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1492.24%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1454.41%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1479.10%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1453.75%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1455.47%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1477.54%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1415.52%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1426.99%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1487.27%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1484.15%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1450.00%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1455.71%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1449.89%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1430.80%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1430.92%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1572.92%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1460.76%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1436.86%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1455.53%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1485.03%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1455.11%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1470.19%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1395.55%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1423.18%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1507.45%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1448.40%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1434.15%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1564.32%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1469.96%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1466.33%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1519.27%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1497.87%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1469.43%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1481.61%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1416.64%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1486.24%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1479.02%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1468.77%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1467.35%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1449.46%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1447.93%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1418.56%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1495.27%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1381.97%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1380.06%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1522.60%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1584.23%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1428.02%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1517.83%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1496.11%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1340.38%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1420.88%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1487.15%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1555.97%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1444.65%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1514.67%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1467.22%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1434.51%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1440.39%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1479.42%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1459.82%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1333.24%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1521.67%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1523.54%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1555.57%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1525.09%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1476.43%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1312.62%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1416.85%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1571.49%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1440.82%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1423.04%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1454.74%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1329.82%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1494.09%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1555.53%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1531.11%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1466.01%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1461.32%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1412.42%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1550.60%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1517.92%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1450.38%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1547.51%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1522.58%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1525.79%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1504.17%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1496.19%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1526.75%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1538.67%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1516.54%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1462.08%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1467.32%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1504.43%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1512.64%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1459.26%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1502.29%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1445.36%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1484.57%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1498.00%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1474.13%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1472.17%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1465.68%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1524.06%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1573.35%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1485.50%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1488.29%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1576.55%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1576.16%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1484.78%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1425.13%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1585.13%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1445.57%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1490.79%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1449.85%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1504.56%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1491.79%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1495.20%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1477.72%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1517.91%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1510.84%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1492.46%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1432.45%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1497.07%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1186.06%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1508.47%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1471.15%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1411.00%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1474.19%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1411.64%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1487.85%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1533.54%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1458.94%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1458.10%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1405.98%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1473.33%, Memory: 1.497GiB / 251.5GiB
jovial_villani: CPU: 1376.38%, Memory: 2.282GiB / 251.5GiB
jovial_villani: CPU: 1117.25%, Memory: 2.281GiB / 251.5GiB
unruffled_wing: CPU: 102.05%, Memory: 1.495GiB / 251.5GiB
unruffled_wing: CPU: 100.50%, Memory: 1.495GiB / 251.5GiB
unruffled_wing: CPU: 101.22%, Memory: 1.495GiB / 251.5GiB
unruffled_wing: CPU: 101.28%, Memory: 1.495GiB / 251.5GiB
unruffled_wing: CPU: 100.00%, Memory: 1.495GiB / 251.5GiB
unruffled_wing: CPU: 100.96%, Memory: 1.495GiB / 251.5GiB
unruffled_wing: CPU: 1447.96%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1512.45%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1486.00%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1554.92%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1483.28%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1393.37%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1475.30%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1432.43%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1509.36%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1480.76%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1468.80%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1507.29%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1544.99%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1504.82%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1524.30%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1440.76%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1556.95%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1501.67%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1485.44%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1475.99%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1462.15%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1477.55%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1538.36%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1506.56%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1485.28%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1478.53%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1500.29%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1509.44%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1515.79%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1200.63%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1548.83%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1501.35%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1529.28%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1520.84%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1433.41%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1480.79%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1474.29%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1441.25%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1447.46%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1411.14%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1454.46%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1438.89%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1480.51%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1504.76%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1454.98%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1424.97%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1547.04%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1389.19%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1487.86%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1524.29%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1536.26%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1477.08%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1511.47%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1520.91%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1383.54%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1493.31%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1478.31%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1545.32%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1468.88%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1474.87%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1507.75%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1511.17%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1382.60%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1481.04%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1533.08%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1436.72%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1397.61%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1539.97%, Memory: 1.497GiB / 251.5GiB
unruffled_wing: CPU: 1532.20%, Memory: 1.497GiB / 251.5GiB
